joint_index,x,y,z
0,0.09577664732933044,0.006404214072972536,0.006215285509824753
1,0.08395242691040039,-0.029239259660243988,-0.002686966210603714
2,0.06190653145313263,-0.05079595372080803,-0.0018723858520388603
3,0.040030352771282196,-0.06630155444145203,0.0023491457104682922
4,0.019173704087734222,-0.081580251455307,0.026042349636554718
5,0.10690829902887344,-0.08002883940935135,0.03092130459845066
6,0.09893599897623062,-0.10631254315376282,0.04919927567243576
7,0.07978535443544388,-0.1143118143081665,0.05710923671722412
8,0.05527900904417038,-0.11211958527565002,0.06197221577167511
9,0.11295507848262787,-0.07335708290338516,0.054432474076747894
10,0.09167248010635376,-0.0911734402179718,0.06980746984481812
11,0.06983912736177444,-0.09683109074831009,0.07568022608757019
12,0.04485321044921875,-0.09660869836807251,0.07087575644254684
13,0.10911682993173599,-0.05123833194375038,0.06892652809619904
14,0.09396889805793762,-0.07410842925310135,0.07792684435844421
15,0.07155004143714905,-0.08350038528442383,0.08315934240818024
16,0.04909581318497658,-0.0828561931848526,0.07198125123977661
17,0.1014818400144577,-0.03294043987989426,0.07799512147903442
18,0.089137002825737,-0.04974314570426941,0.08179987967014313
19,0.07374410331249237,-0.06056917831301689,0.08459314703941345
20,0.055311091244220734,-0.07086843252182007,0.08145197480916977
