joint_index,x,y,z
0,0.09597596526145935,0.0064134057611227036,0.006234484724700451
1,0.07644960284233093,-0.02530854381620884,-0.004044926725327969
2,0.050535764545202255,-0.04201449826359749,-0.002340279519557953
3,0.026578323915600777,-0.05465566739439964,-8.800067007541656e-06
4,-0.00014308467507362366,-0.0697876587510109,0.0175960510969162
5,0.0900653749704361,-0.08227584511041641,0.024631988257169724
6,0.08851068466901779,-0.11020125448703766,0.04228781536221504
7,0.07650455087423325,-0.12478002905845642,0.05406786501407623
8,0.05961591750383377,-0.13726359605789185,0.06857375800609589
9,0.09868945181369781,-0.07879945635795593,0.048077505081892014
10,0.08440028131008148,-0.09923256188631058,0.06781625747680664
11,0.0672527477145195,-0.10912364721298218,0.08021161705255508
12,0.04548490047454834,-0.11856897175312042,0.09067980945110321
13,0.10039424151182175,-0.057493291795253754,0.06418916583061218
14,0.08666236698627472,-0.0804729089140892,0.07524748891592026
15,0.06827396154403687,-0.09276861697435379,0.08673928678035736
16,0.044992297887802124,-0.10145527124404907,0.09292887151241302
17,0.09727448225021362,-0.03871858865022659,0.07491296529769897
18,0.08512771129608154,-0.0550541952252388,0.08092357218265533
19,0.07150685787200928,-0.06632258743047714,0.08804180473089218
20,0.054886169731616974,-0.07944206148386002,0.09614516794681549
