joint_index,x,y,z
0,0.095940001308918,0.0064070201478898525,0.006195970810949802
1,0.09877046197652817,-0.010045615956187248,0.041078418493270874
2,0.10873861610889435,-0.022982429713010788,0.0672907829284668
3,0.12342439591884613,-0.036764342337846756,0.08552159368991852
4,0.15409213304519653,-0.047505930066108704,0.07689328491687775
5,0.10152178257703781,-0.07498392462730408,0.04629552364349365
6,0.11401759088039398,-0.09976901113986969,0.06428437680006027
7,0.12747976183891296,-0.11054753512144089,0.07832644879817963
8,0.1481289565563202,-0.11493435502052307,0.09282547235488892
9,0.11184878647327423,-0.08519358187913895,0.02567879483103752
10,0.12659716606140137,-0.10772453993558884,0.042540401220321655
11,0.14306044578552246,-0.11121782660484314,0.05867018550634384
12,0.1615808755159378,-0.10202611982822418,0.07382646948099136
13,0.12433769553899765,-0.07506720721721649,0.004260673187673092
14,0.1295279562473297,-0.09981000423431396,0.0183420367538929
15,0.14571739733219147,-0.10657352209091187,0.035944994539022446
16,0.16313447058200836,-0.09507045149803162,0.05070444941520691
17,0.13625521957874298,-0.06323730945587158,-0.009741601534187794
18,0.14184342324733734,-0.08295347541570663,-0.00450096745043993
19,0.1528598815202713,-0.0916295200586319,0.008312760852277279
20,0.15952631831169128,-0.08779212832450867,0.02404090017080307
