joint_index,x,y,z
0,0.09590783715248108,0.0063840486109256744,0.0062446813099086285
1,0.09196480363607407,-0.012262417003512383,0.03972746431827545
2,0.1055612564086914,-0.024262193590402603,0.06459483504295349
3,0.12393314391374588,-0.03642238676548004,0.08045933395624161
4,0.15495455265045166,-0.048229265958070755,0.09082472324371338
5,0.10318313539028168,-0.07631810009479523,0.04280801862478256
6,0.11888156086206436,-0.10427349805831909,0.051022060215473175
7,0.13534647226333618,-0.11262494325637817,0.06343952566385269
8,0.15369658172130585,-0.11099308729171753,0.08061917871236801
9,0.12005831301212311,-0.08337247371673584,0.02546902559697628
10,0.13733884692192078,-0.10753162205219269,0.03694811835885048
11,0.15490537881851196,-0.1130504310131073,0.051308583468198776
12,0.17362982034683228,-0.10993119329214096,0.068776436150074
13,0.1360698789358139,-0.06994421780109406,0.008781302720308304
14,0.14721199870109558,-0.09405932575464249,0.0204534363001585
15,0.16318127512931824,-0.1084602028131485,0.03305303305387497
16,0.18150557577610016,-0.1136845275759697,0.05044597014784813
17,0.14930669963359833,-0.055473536252975464,-0.0008711167611181736
18,0.15664042532444,-0.07411552965641022,0.006009620148688555
19,0.16653397679328918,-0.0859219953417778,0.017145821824669838
20,0.17540302872657776,-0.08975090086460114,0.03359508886933327
