joint_index,x,y,z
0,0.09588051587343216,0.006410382688045502,0.006215659901499748
1,0.07535624504089355,-0.025957684963941574,0.0013160929083824158
2,0.04941773787140846,-0.04251891374588013,0.00354051124304533
3,0.02578243799507618,-0.05513036996126175,0.007990692742168903
4,0.0031974692828953266,-0.06691475957632065,0.03205515816807747
5,0.09059925377368927,-0.07929421961307526,0.035487931221723557
6,0.09026812016963959,-0.10499658435583115,0.056240182369947433
7,0.07105621695518494,-0.10839439183473587,0.06688390672206879
8,0.04824591428041458,-0.09985747933387756,0.07266949117183685
9,0.1010574921965599,-0.07319354265928268,0.0576036274433136
10,0.08314169943332672,-0.09041284769773483,0.07738342881202698
11,0.06235223263502121,-0.09409933537244797,0.08729053288698196
12,0.03700973093509674,-0.09376711398363113,0.09150195121765137
13,0.10419803112745285,-0.05016765743494034,0.07085932791233063
14,0.09053429961204529,-0.07138737291097641,0.08496463298797607
15,0.06904435157775879,-0.07750861346721649,0.09590277075767517
16,0.04381055012345314,-0.07478614896535873,0.09514419734477997
17,0.10208146274089813,-0.03020547330379486,0.07944995164871216
18,0.08879655599594116,-0.04474709555506706,0.0872446820139885
19,0.07160770893096924,-0.049894560128450394,0.09355322271585464
20,0.05040638893842697,-0.050650704652071,0.09453354775905609
