joint_index,x,y,z
0,0.09593673795461655,0.0063891177996993065,0.00625299196690321
1,0.05944842845201492,-0.0059240758419036865,0.004963424988090992
2,0.0335763543844223,-0.021426644176244736,0.011250883340835571
3,0.017759675160050392,-0.041650496423244476,0.020109370350837708
4,0.020273422822356224,-0.06113860011100769,0.04782158136367798
5,0.045172207057476044,-0.061934709548950195,-0.024987604469060898
6,0.02297200635075569,-0.08638279885053635,-0.02304057963192463
7,0.008011952973902225,-0.09889090061187744,-0.01230077538639307
8,-0.003301754593849182,-0.10761551558971405,0.009014081209897995
9,0.06463311612606049,-0.07789015024900436,-0.02415699139237404
10,0.04708452150225639,-0.10367360711097717,-0.017616912722587585
11,0.03306491672992706,-0.11114062368869781,-0.0004484131932258606
12,0.021201126277446747,-0.11004158854484558,0.0224156454205513
13,0.08805753290653229,-0.07777237147092819,-0.01127390842884779
14,0.07254577428102493,-0.10233623534440994,-0.011612949892878532
15,0.058295898139476776,-0.11378264427185059,0.00535944290459156
16,0.048184800893068314,-0.1128976121544838,0.02900618128478527
17,0.10440067946910858,-0.07519776374101639,0.0030023502185940742
18,0.09458118677139282,-0.09396103769540787,0.0044671595096588135
19,0.08296690136194229,-0.1045185849070549,0.015257706865668297
20,0.07062102109193802,-0.10917790979146957,0.03013843670487404
