joint_index,x,y,z
0,0.09590651839971542,0.006380504462867975,0.0062515102326869965
1,0.05913097411394119,-0.004994032438844442,0.007690467871725559
2,0.03340350091457367,-0.01970326341688633,0.016122102737426758
3,0.01663016714155674,-0.03790886700153351,0.027306657284498215
4,0.012003551237285137,-0.05743825435638428,0.05521873012185097
5,0.04291616380214691,-0.06476437300443649,-0.012349186465144157
6,0.021097881719470024,-0.08918686211109161,-0.0077061899937689304
7,0.006552321836352348,-0.10159847140312195,0.0036861500702798367
8,-0.005539262667298317,-0.11032816767692566,0.024591464549303055
9,0.06200893968343735,-0.08088815212249756,-0.009199261665344238
10,0.04459111765027046,-0.10552293807268143,0.001064268872141838
11,0.031139235943555832,-0.11206993460655212,0.019035862758755684
12,0.01890936866402626,-0.11064159125089645,0.041731856763362885
13,0.08569592982530594,-0.07925032079219818,0.003136754035949707
14,0.07053264230489731,-0.10390309989452362,0.005605252459645271
15,0.05682191252708435,-0.11501329392194748,0.023245438933372498
16,0.04563958942890167,-0.11468832939863205,0.04636593535542488
17,0.10238471627235413,-0.0747743472456932,0.016526024788618088
18,0.09309656172990799,-0.09314671158790588,0.021691104397177696
19,0.08202317357063293,-0.10231476277112961,0.03417364880442619
20,0.07012204825878143,-0.10615391284227371,0.04915812239050865
